tweet_id,airline_sentiment,airline,name,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70272235639829E+017,negative,American,cmrqt,0,@AmericanAir how about some rampers at gate b40 dfw?   Waiting to be marshaled in,,2015-02-24 09:21:10 -0800,Everywhere,Central Time (US & Canada)
5.70272172679283E+017,negative,American,mmanny,0,@AmericanAir You Cancelled Flight my flight and there’s no way to rebook on the website or app? I have to wait 35 minutes on hold? #fail cc @Delta,,2015-02-24 09:20:55 -0800,NYC,Eastern Time (US & Canada)
5.70272018840429E+017,neutral,American,pokecrastinator,0,@AmericanAir I thought all those planes were retired? #MD80,,2015-02-24 09:20:19 -0800,United States,Mountain Time (US & Canada)
5.70271904508092E+017,positive,American,superyan,0,Just got off the phone @AmericanAir customer service. Only 8 minutes to get my issue resoled. You guys are awesome.,,2015-02-24 09:19:51 -0800,,
5.70271896887018E+017,positive,American,MeeestarCoke,0,@AmericanAir thanks for the info Is there a number I can call to speak to a person? It's going to take an hour to type it out,,2015-02-24 09:19:50 -0800,BK,
5.7027157446237E+017,neutral,American,pilot991,0,"@AmericanAir we are off to Kax premium.  Hoping this flight is better food, TV now I know how to work it and service. Tnx",,2015-02-24 09:18:33 -0800,new england,Central Time (US & Canada)
5.70271479616573E+017,positive,American,PappasitosTXMEX,0,@AmericanAir @beantownmatty Sounds like a date!,,2015-02-24 09:18:10 -0800,,Central Time (US & Canada)
5.70271383005086E+017,negative,American,BartonDVM,0,@AmericanAir I'm frustrated by all of the @USAirways attitude toward #ExecPlat members. #thenewamerican,,2015-02-24 09:17:47 -0800,Arkansas,Central Time (US & Canada)
5.70270777121104E+017,negative,American,andrearamy,0,@AmericanAir another day another grievance with this airline. No customer service,,2015-02-24 09:15:23 -0800,LBK,
5.70270776370311E+017,negative,American,BartonDVM,0,"@AmericanAir You've misunderstood. @USAirways WOULD NOT do a same day flight change for me. The gate agent said, ""NO.""",,2015-02-24 09:15:22 -0800,Arkansas,Central Time (US & Canada)
5.70270651996463E+017,neutral,American,krisdelcampo,0,@AmericanAir Flight 35. I'm on my way.,,2015-02-24 09:14:53 -0800,"Las Vegas, NV",Eastern Time (US & Canada)
5.70270444646851E+017,negative,American,corinnec,0,@AmericanAir car accident on my way to the airport. Missed flight from rno to dca. Trying to resched but your line has 2 hr wait,,2015-02-24 09:14:03 -0800,"Washington, DC",Alaska
5.70270435478122E+017,neutral,American,beckyw618,0,@AmericanAir Thanks so much!,,2015-02-24 09:14:01 -0800,,
5.70270039737274E+017,positive,American,marypoppings,0,"“@AmericanAir: We hope you enjoy the #WinterWeather and brought your warm coat and gloves, Maria!” Yup! New beanie http://t.co/AnEqXZR4bp",,2015-02-24 09:12:27 -0800,New York/Nicaragua/Miami Beach,Eastern Time (US & Canada)
5.70269774594224E+017,negative,American,rqualls,0,@AmericanAir @lpalumbo what weather sun is out,,2015-02-24 09:11:24 -0800,,
5.70269633778856E+017,negative,American,rqualls,0,@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good,,2015-02-24 09:10:50 -0800,,
